latitude: 31.888267336443583, longitude: 118.81154885574603, altitude: 26.7
latitude: 31.8882673447894, longitude: 118.81154888813357, altitude: 27
latitude: 31.888267366008037, longitude: 118.81154897132876, altitude: 27.3
latitude: 31.888267378171065, longitude: 118.8115490112353, altitude: 27.6
latitude: 31.8882673764948, longitude: 118.81154894676375, altitude: 27.9
latitude: 31.888267388510595, longitude: 118.81154897856321, altitude: 28.2
latitude: 31.88826737789125, longitude: 118.81154907914663, altitude: 28.5
latitude: 31.888267386003356, longitude: 118.81154911891824, altitude: 28.8
latitude: 31.888267523678337, longitude: 118.81154919957099, altitude: 29.1
latitude: 31.88826754783867, longitude: 118.81154923991994, altitude: 29.4
latitude: 31.88826750926301, longitude: 118.81154914847858, altitude: 29.8
latitude: 31.888267533950113, longitude: 118.81154917588714, altitude: 30.1
latitude: 31.88826751325277, longitude: 118.81154925821728, altitude: 30.4
latitude: 31.88826753883087, longitude: 118.81154929155483, altitude: 30.7
latitude: 31.888267507109315, longitude: 118.81154921862195, altitude: 31
latitude: 31.888267528605606, longitude: 118.81154923455378, altitude: 31.3
latitude: 31.888267500898106, longitude: 118.81154917356254, altitude: 31.6
latitude: 31.88826751989919, longitude: 118.8115491869218, altitude: 31.9
latitude: 31.88826747829428, longitude: 118.8115491546456, altitude: 32.1
latitude: 31.888267483184542, longitude: 118.81154917784627, altitude: 32.4
latitude: 31.888267441358696, longitude: 118.81154919052052, altitude: 32.7
latitude: 31.888267435441936, longitude: 118.81154922120476, altitude: 33
latitude: 31.88826739909084, longitude: 118.81154938166983, altitude: 33.3
latitude: 31.88826739109071, longitude: 118.8115494319059, altitude: 33.6
latitude: 31.888267392015745, longitude: 118.8115493738309, altitude: 33.9
latitude: 31.888267392976843, longitude: 118.81154940659174, altitude: 34.2
latitude: 31.888267267215383, longitude: 118.81154932174212, altitude: 34.5
latitude: 31.888267257523275, longitude: 118.81154933954984, altitude: 34.8
latitude: 31.88826729865881, longitude: 118.81154941689728, altitude: 35.1
latitude: 31.88826729854838, longitude: 118.81154943872684, altitude: 35.4
latitude: 31.888267181711214, longitude: 118.81154937926138, altitude: 35.7
latitude: 31.888267180891127, longitude: 118.81154939024862, altitude: 36
latitude: 31.888267079517203, longitude: 118.81154919103132, altitude: 36.3
latitude: 31.888267079042198, longitude: 118.81154917818584, altitude: 36.6
latitude: 31.888266972834163, longitude: 118.81154917100167, altitude: 37
latitude: 31.888266973953357, longitude: 118.81154916155863, altitude: 37.2
latitude: 31.88826687776157, longitude: 118.81154901808907, altitude: 37.6
latitude: 31.88826688003087, longitude: 118.81154899161695, altitude: 37.9
latitude: 31.88826694401136, longitude: 118.81154903835063, altitude: 38.2
latitude: 31.888266958359406, longitude: 118.81154901683921, altitude: 38.5
latitude: 31.888266981423005, longitude: 118.81154888842994, altitude: 38.8
latitude: 31.888266998969886, longitude: 118.81154885869525, altitude: 39.1
latitude: 31.888266830986556, longitude: 118.81154876961568, altitude: 39.4
latitude: 31.88826683031733, longitude: 118.81154874251028, altitude: 39.7
latitude: 31.88826682978739, longitude: 118.81154867997866, altitude: 40
latitude: 31.888266835478596, longitude: 118.8115486661444, altitude: 40.3
latitude: 31.888266683530542, longitude: 118.81154846403196, altitude: 40.6
latitude: 31.8882666861865, longitude: 118.8115484476384, altitude: 40.9
latitude: 31.888266582927706, longitude: 118.81154857507116, altitude: 41.2
latitude: 31.888266591137466, longitude: 118.81154858646813, altitude: 41.5
latitude: 31.88826665889878, longitude: 118.81154849713226, altitude: 41.8
latitude: 31.88826668276607, longitude: 118.81154850468597, altitude: 42.1
latitude: 31.888266552696763, longitude: 118.81154838655559, altitude: 42.4
latitude: 31.88826656812231, longitude: 118.81154838660068, altitude: 42.7
latitude: 31.88826656915263, longitude: 118.81154825137268, altitude: 43
latitude: 31.888266588372947, longitude: 118.81154824912237, altitude: 43.3
latitude: 31.88826657630879, longitude: 118.81154829897906, altitude: 43.6
latitude: 31.888266593701392, longitude: 118.81154831549279, altitude: 43.9
latitude: 31.88826641388615, longitude: 118.81154820284428, altitude: 44.2
